2025-12-29 15:31:27 | INFO     | __main__ | ============================================================
2025-12-29 15:31:27 | INFO     | __main__ | Starting bond bot: bond-bot
2025-12-29 15:31:27 | INFO     | __main__ | Log files: logs/bond-bot.log
2025-12-29 15:31:27 | INFO     | __main__ | ============================================================
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy | ============================================================
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy | 🏦 BOND STRATEGY CONFIGURATION
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy | ============================================================
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Agent ID:      bond-bot
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Mode:          💸 LIVE TRADING
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Price Range:   $0.95 - $0.98
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Time Window:   60s - 1800s (30 min)
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Position Size: Half-Kelly (max 25%)
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy |   Expected Returns: +2.0% to +5.3%
2025-12-29 15:31:27 | INFO     | strategies.bond_strategy | ============================================================
2025-12-29 15:31:27 | INFO     | trading.bot | ============================================================
2025-12-29 15:31:27 | INFO     | trading.bot | 🚀 STARTING TRADING BOT
2025-12-29 15:31:27 | INFO     | trading.bot | ============================================================
2025-12-29 15:31:27 | INFO     | trading.bot |   Agent ID:   bond-bot
2025-12-29 15:31:27 | INFO     | trading.bot |   Type:       bond
2025-12-29 15:31:27 | INFO     | trading.bot |   Mode:       💸 LIVE
2025-12-29 15:31:27 | INFO     | trading.bot |   ✅ Credentials validated
2025-12-29 15:31:27 | INFO     | trading.bot |   ✅ API connected
2025-12-29 15:31:28 | INFO     | httpx | HTTP Request: POST https://clob.polymarket.com/auth/api-key "HTTP/2 400 Bad Request"
