2025-12-30 22:11:39 | WARNING  | polymarket.trading.bot | ❌ Exit failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | 🚨 EXIT TRIGGERED: TIME_LIMIT
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📌 Token: 10805459206080847930337027055430...
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   💰 Entry: $0.9990
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   💵 Exit:  $0.9980
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📊 Tracked Shares: 8.5900
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📝 Reason: Time limit reached (75.3 min)
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   🔄 Share count adjusted: tracked=8.5900 → actual=10.6800
2025-12-30 22:11:39 | ERROR    | polymarket.trading.components.executors | Execution error: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:39 | WARNING  | polymarket.trading.bot | ❌ Exit failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | 🚨 EXIT TRIGGERED: TIME_LIMIT
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📌 Token: 10805459206080847930337027055430...
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   💰 Entry: $0.9990
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   💵 Exit:  $0.9980
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📊 Tracked Shares: 8.2300
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   📝 Reason: Time limit reached (75.3 min)
2025-12-30 22:11:39 | INFO     | polymarket.trading.bot |   🔄 Share count adjusted: tracked=8.2300 → actual=10.6800
2025-12-30 22:11:40 | ERROR    | polymarket.trading.components.executors | Execution error: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:40 | WARNING  | polymarket.trading.bot | ❌ Exit failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy | 🎯 FLOW SIGNALS READY TO TRADE: 1
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy |   [1] Lighter Market Cap Fdv One Day After Launch...
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy |       📈 BUY | Score: 32.4 | Token: 1080545920608084...
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy |       Factors: 📊 OVERSIZED_BET
2025-12-30 22:11:40 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2025-12-30 22:11:40 | INFO     | polymarket.trading.bot | Got 1 signals
2025-12-30 22:11:40 | INFO     | polymarket.trading.bot | ⏭️  Skip: Price $0.9990 above max $0.80 (limited upside)
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | 🚨 EXIT TRIGGERED: TIME_LIMIT
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot |   📌 Token: 10805459206080847930337027055430...
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot |   💰 Entry: $0.9990
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot |   💵 Exit:  $0.9980
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot |   📊 Tracked Shares: 10.6800
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot |   📝 Reason: Time limit reached (75.4 min)
2025-12-30 22:11:42 | ERROR    | polymarket.trading.components.executors | Execution error: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:42 | WARNING  | polymarket.trading.bot | ❌ Exit failed: PolyApiException[status_code=400, error_message={'error': 'not enough balance / allowance'}]
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | ============================================================
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | 🚨 EXIT TRIGGERED: TIME_LIMIT
2025-12-30 22:11:42 | INFO     | polymarket.trading.bot | ============================================================
