2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy | 🌊 FLOW COPY STRATEGY CONFIGURATION - V4 (Enhanced)
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Agent ID:       flow-bot
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Mode:           💸 LIVE TRADING
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Min Score:      30
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Min Trade Size: $100
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Category:       ALL
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Position Size:  20.0% base, up to 1x for high scores
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Max Spread:     3%
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Max Price Drift: 10% (fallback)
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Time-Based Slippage: Enabled (1% for <5min, 3% for <30min, 10% for >30min)
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Price Range:    $0.20 - $0.80
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   V4 Enhancements:
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Multi-Signal Confirmation: ON
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Contrarian Detection:      ON
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Timing Filter:             ON
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Wallet Reputation:         ON
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Exit Strategy:
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Take-Profit:    15%
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Trailing Stop:  Enabled
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Max Hold Time:  90 min
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     Stop-Loss:      20%
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy | ============================================================
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |   Signal Weights:
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 SMART_MONEY_ACTIVITY: 30.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 OVERSIZED_BET: 25.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 COORDINATED_WALLETS: 25.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 VOLUME_SPIKE: 10.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 PRICE_ACCELERATION: 10.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 SUDDEN_PRICE_MOVEMENT: 8.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 FRESH_WALLET_ACTIVITY: 5.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 COLD_WALLET_ACTIVITY: 5.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 LOW_ACTIVITY_WALLET: 3.0x
2026-01-07 23:17:18 | INFO     | polymarket.strategies.flow_strategy |     📊 CORRELATED_MOVEMENT: 5.0x
