2026-01-07 22:06:09 | INFO     | __main__ | ============================================================
2026-01-07 22:06:09 | INFO     | __main__ | POLYMARKET MARKET MAKER BOT
2026-01-07 22:06:09 | INFO     | __main__ | ============================================================
2026-01-07 22:06:09 | INFO     | __main__ |   Agent ID:       maker-bot
2026-01-07 22:06:09 | INFO     | __main__ |   Mode:           LIVE TRADING
2026-01-07 22:06:09 | INFO     | __main__ |   Half Spread:    50 bps (0.50%)
2026-01-07 22:06:09 | INFO     | __main__ |   Order Size:     $20.0
2026-01-07 22:06:09 | INFO     | __main__ |   Max Inventory:  $200.0
2026-01-07 22:06:09 | INFO     | __main__ |   Max Markets:    5
2026-01-07 22:06:09 | INFO     | __main__ |   Quote Interval: 5.0s
2026-01-07 22:06:09 | INFO     | __main__ | ============================================================
2026-01-07 22:06:09 | WARNING  | __main__ | LIVE TRADING MODE - Real orders WILL be placed!
2026-01-07 22:06:09 | WARNING  | __main__ | Make sure you understand the risks before proceeding
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker | ============================================================
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker | STARTING MARKET MAKER BOT
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker | ============================================================
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Agent ID:   maker-bot
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Mode:       LIVE
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Half Spread: 50 bps
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Order Size: $20.0
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Max Inventory: $200.0
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   Credentials validated
2026-01-07 22:06:09 | INFO     | polymarket.trading.market_maker |   API connected
2026-01-07 22:06:09 | INFO     | httpx | HTTP Request: POST https://clob.polymarket.com/auth/api-key "HTTP/2 400 Bad Request"
